date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-03-15,Jack Humphries,Nick Beukema,Nick Beukema,,,,,290.0,,,
2025-03-15,Josias Musasa,Carlos Vera,Carlos Vera,550.0,600.0,600.0,575.0,500.0,525.0,560.0,
2025-03-15,Josias Musasa,Carlos Vera,Josias Musasa,-800.0,-900.0,-910.0,-900.0,-750.0,-750.0,-770.0,
2025-03-15,Kevin Vallejos,Seung-Woo Choi,Kevin Vallejos,-600.0,-550.0,-560.0,-550.0,-550.0,-535.0,-590.0,
2025-03-15,Kevin Vallejos,Seung-Woo Choi,Seung-Woo Choi,425.0,400.0,400.0,399.0,390.0,400.0,430.0,
2025-03-15,Leon Naumann,Ethan Charlton,Ethan Charlton,,,,,100.0,,,
2025-03-15,Leon Naumann,Ethan Charlton,Leon Naumann,,,,,-130.0,,,
2025-03-15,Luke Riley,Tariel Abbasov,Luke Riley,,,,,-900.0,,,
2025-03-15,Luke Riley,Tariel Abbasov,Tariel Abbasov,,,,,500.0,,,
2025-03-15,Omiel Brown,Samuel Blasco,Omiel Brown,,,,,-650.0,,,
2025-03-15,Omiel Brown,Samuel Blasco,Samuel Blasco,,,,,400.0,,,
2025-03-15,Priscila Cachoeira,Josiane Nunes,Josiane Nunes,-190.0,-177.0,-195.0,-180.0,-183.0,-180.0,-184.0,
2025-03-15,Priscila Cachoeira,Josiane Nunes,Priscila Cachoeira,155.0,152.0,155.0,150.0,158.0,150.0,154.0,
2025-03-15,Ryan Hewitt,Christian Tebbett,Christian Tebbett,,,,,120.0,,,
2025-03-15,Ryan Hewitt,Christian Tebbett,Ryan Hewitt,,,,,-155.0,,,
2025-03-15,Ryan Spann,Waldo Cortes-Acosta,Ryan Spann,150.0,155.0,145.0,154.0,158.0,154.0,154.0,
2025-03-15,Ryan Spann,Waldo Cortes-Acosta,Waldo Cortes-Acosta,-185.0,-180.0,-182.0,-185.0,-183.0,-185.0,-184.0,
2025-03-15,Sam Hughes,Stephanie Luciano,Sam Hughes,,185.0,180.0,174.0,185.0,170.0,198.0,
2025-03-15,Sam Hughes,Stephanie Luciano,Stephanie Luciano,,-220.0,-230.0,-210.0,-225.0,-205.0,-240.0,
2025-03-15,Sam Kelly,Richard Kallos,Richard Kallos,,,,,160.0,,,
2025-03-15,Sam Kelly,Richard Kallos,Sam Kelly,,,,,-210.0,,,
2025-03-15,Teddy Adlington-Stringer,Antonio Sheldon,Antonio Sheldon,,,,,285.0,,,
2025-03-15,Teddy Adlington-Stringer,Antonio Sheldon,Teddy Adlington-Stringer,,,,,-425.0,,,
2025-03-22,Andrey Pulyaev,Christian Leroy Duncan,Andrey Pulyaev,400.0,375.0,420.0,369.0,390.0,370.0,430.0,380.0
2025-03-22,Andrey Pulyaev,Christian Leroy Duncan,Christian Leroy Duncan,-550.0,-500.0,-590.0,-500.0,-550.0,-485.0,-560.0,-500.0
2025-03-22,Chris Duncan,Jordan Vucenic,Chris Duncan,310.0,300.0,320.0,315.0,330.0,300.0,330.0,320.0
2025-03-22,Chris Duncan,Jordan Vucenic,Jordan Vucenic,-400.0,-400.0,-420.0,-410.0,-440.0,-380.0,-420.0,-420.0
2025-03-22,Chris Padilla,Jai Herbert,Chris Padilla,-110.0,-110.0,-112.0,-110.0,-110.0,-110.0,-104.0,-110.0
2025-03-22,Chris Padilla,Jai Herbert,Jai Herbert,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-112.0,-110.0
2025-03-22,Guram Kutateladze,Kauê Fernandes,Guram Kutateladze,,-370.0,-455.0,-390.0,-440.0,-395.0,-375.0,-400.0
2025-03-22,Guram Kutateladze,Kauê Fernandes,Kauê Fernandes,,295.0,340.0,303.0,330.0,310.0,300.0,310.0
2025-03-22,Jan Blachowicz,Carlos Ulberg,Carlos Ulberg,-300.0,-282.0,-295.0,-300.0,-290.0,-290.0,-290.0,-290.0
2025-03-22,Jan Blachowicz,Carlos Ulberg,Jan Blachowicz,240.0,242.0,225.0,246.0,240.0,235.0,235.0,235.0
2025-03-22,Kevin Holland,Gunnar Nelson,Gunnar Nelson,-120.0,-114.0,-129.0,-115.0,-117.0,-118.0,-126.0,-115.0
2025-03-22,Kevin Holland,Gunnar Nelson,Kevin Holland,100.0,-106.0,104.0,-105.0,-103.0,-102.0,108.0,-105.0
2025-03-22,Leon Edwards,Sean Brady,Leon Edwards,135.0,134.0,128.0,130.0,127.0,130.0,132.0,135.0
2025-03-22,Leon Edwards,Sean Brady,Sean Brady,-160.0,-154.0,-159.0,-155.0,-147.0,-155.0,-156.0,-160.0
2025-03-22,Lone'er Kavanagh,Felipe Dos Santos,Felipe Dos Santos,240.0,235.0,235.0,234.0,235.0,225.0,235.0,250.0
2025-03-22,Lone'er Kavanagh,Felipe Dos Santos,Lone'er Kavanagh,-295.0,-275.0,-305.0,-285.0,-285.0,-278.0,-290.0,-320.0
2025-03-22,Marcin Tybura,Michael Parkin,Marcin Tybura,,115.0,106.0,114.0,100.0,120.0,112.0,122.0
2025-03-22,Marcin Tybura,Michael Parkin,Michael Parkin,,-135.0,-132.0,-135.0,-120.0,-142.0,-132.0,-145.0
2025-03-22,Molly McCann,Alexia Thainara,Alexia Thainara,-235.0,-250.0,-275.0,-250.0,-215.0,-238.0,-225.0,-250.0
2025-03-22,Molly McCann,Alexia Thainara,Molly McCann,190.0,210.0,215.0,206.0,178.0,195.0,188.0,205.0
2025-03-22,Morgan Charriere,Nathaniel Wood,Morgan Charriere,-140.0,-135.0,-152.0,-135.0,-133.0,-135.0,-144.0,-135.0
2025-03-22,Morgan Charriere,Nathaniel Wood,Nathaniel Wood,115.0,115.0,123.0,114.0,112.0,114.0,124.0,115.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Caolan Loughran,115.0,119.0,106.0,118.0,100.0,114.0,108.0,118.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Nathan Fletcher,-140.0,-139.0,-130.0,-139.0,-120.0,-135.0,-130.0,-140.0
2025-03-22,Puja Tomar,Shauna Bannon,Puja Tomar,150.0,145.0,150.0,138.0,140.0,142.0,140.0,143.0
2025-03-22,Puja Tomar,Shauna Bannon,Shauna Bannon,-185.0,-170.0,-186.0,-165.0,-165.0,-170.0,-166.0,-170.0
2025-03-29,CJ Vergara,Edgar Chairez,CJ Vergara,220.0,225.0,215.0,214.0,220.0,215.0,220.0,220.0
2025-03-29,CJ Vergara,Edgar Chairez,Edgar Chairez,-275.0,-265.0,-278.0,-260.0,-270.0,-265.0,-270.0,-270.0
2025-03-29,David Martinez,Saimon Oliveira,David Martinez,-450.0,-500.0,-500.0,-500.0,-450.0,-485.0,-430.0,-500.0
2025-03-29,David Martinez,Saimon Oliveira,Saimon Oliveira,350.0,375.0,370.0,369.0,335.0,370.0,320.0,380.0
2025-03-29,Diego Dias,Pedro Henrique,Diego Dias,,,,,-1400.0,,,
2025-03-29,Diego Dias,Pedro Henrique,Pedro Henrique,,,,,700.0,,,
2025-03-29,Jamall Emmers,Gabriel Miranda,Gabriel Miranda,375.0,375.0,370.0,363.0,355.0,370.0,350.0,380.0
